mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
258217000,3720,10,8,24,29,29,29,29,29,29,starboard,
258265000,3720,4,9,24,29,29,29,29,29,12,port,
258217000,3780,10,9,24,29,29,29,29,29,29,starboard,
258265000,3780,4,9,24,29,29,29,29,29,7,starboard,
258217000,3840,10,8,23,29,29,29,29,29,29,starboard,
258265000,3840,4,9,23,29,29,29,29,29,14,starboard,
258217000,3900,10,9,23,29,29,29,29,29,29,starboard,
258265000,3900,4,9,23,29,29,29,29,29,18,starboard,
258217000,3960,10,8,22,29,29,29,29,29,29,starboard,
258265000,3960,4,9,22,29,29,29,29,29,20,starboard,
258217000,4020,10,8,22,29,29,29,29,29,29,starboard,
258265000,4020,4,9,22,29,29,29,29,29,23,starboard,
258217000,4080,10,8,22,29,29,29,29,29,29,starboard,
258265000,4080,4,9,22,29,29,29,29,29,29,starboard,
258217000,4140,10,8,21,29,29,29,29,29,29,starboard,
258265000,4140,3,9,21,29,29,29,29,29,29,starboard,
258217000,4200,10,8,21,29,29,29,29,29,29,starboard,
258265000,4200,4,9,21,29,29,29,29,29,29,starboard,
258217000,4260,10,8,21,29,29,29,29,29,29,starboard,
258265000,4260,5,8,21,29,29,29,29,29,19,starboard,
258217000,4320,10,8,20,29,29,29,29,29,29,starboard,
258265000,4320,6,8,20,29,29,29,29,29,19,port,
258217000,4380,10,8,20,29,29,29,29,29,29,starboard,
258265000,4380,6,8,20,29,29,29,29,29,14,port,
258217000,4440,10,7,20,29,29,29,29,29,29,starboard,
258265000,4440,7,9,20,29,29,29,29,29,29,port,
258217000,4500,7,7,20,29,4,1,18,7,29,starboard,
258265000,4500,7,9,20,29,4,1,29,29,27,port,
258217000,4560,8,7,19,29,15,6,29,17,29,starboard,
258265000,4560,7,9,19,29,15,6,29,29,29,port,
258217000,4620,8,7,19,29,24,9,29,24,29,starboard,
258265000,4620,7,9,19,29,24,9,29,29,29,port,
258217000,4680,8,7,19,29,22,9,29,21,29,starboard,
258265000,4680,7,9,19,29,22,9,29,29,29,port,
258217000,4740,8,7,19,29,7,3,24,9,29,starboard,
258265000,4740,7,9,19,29,7,3,29,29,29,port,
258217000,4800,8,7,19,29,11,4,29,29,29,starboard,
258265000,4800,8,9,19,29,11,4,29,18,29,port,
258217000,4860,8,7,19,29,29,11,29,29,29,starboard,
258265000,4860,8,9,19,29,29,11,29,29,29,port,
258217000,4920,8,7,18,29,29,16,29,28,29,starboard,
258265000,4920,8,8,18,29,29,16,29,29,29,port,
258217000,4980,9,7,18,29,29,23,29,29,29,starboard,
258265000,4980,8,8,18,29,29,23,29,29,29,port,
258217000,5040,9,7,18,29,29,20,29,29,29,starboard,
258265000,5040,8,8,18,29,29,20,29,29,29,port,
258217000,5100,9,7,18,29,29,13,29,22,29,starboard,
258265000,5100,8,9,18,29,29,13,29,29,29,port,
258217000,5160,9,7,18,29,29,29,29,29,29,starboard,
258265000,5160,8,8,18,29,29,29,29,29,29,port,
258217000,5220,9,7,17,29,29,29,29,29,29,starboard,
258265000,5220,8,8,17,29,29,29,29,29,29,port,
258217000,5280,9,7,17,29,29,29,29,29,29,starboard,
258265000,5280,8,8,17,29,29,29,29,29,29,port,
258217000,5340,9,7,17,29,29,27,29,29,29,starboard,
258265000,5340,8,8,17,29,29,27,29,29,29,port,
258217000,5400,9,7,17,29,29,27,29,29,29,starboard,
258265000,5400,8,8,17,29,29,27,29,29,29,port,
258217000,5460,9,6,17,29,29,19,29,29,29,starboard,
258265000,5460,8,8,17,29,29,19,29,29,29,port,
258217000,5520,9,7,17,29,29,29,29,29,29,starboard,
258265000,5520,8,7,17,29,29,29,29,29,29,port,
258217000,5580,9,7,16,29,29,29,29,29,29,starboard,
258265000,5580,7,8,16,29,29,29,29,29,17,port,
258217000,5640,9,7,16,29,29,29,29,29,29,starboard,
258265000,5640,7,8,16,29,29,29,29,29,10,port,
258217000,5700,10,6,16,29,29,29,29,29,29,starboard,
258265000,5700,7,8,16,29,29,29,29,29,10,port,
258217000,5760,9,7,16,29,29,29,29,29,29,starboard,
258265000,5760,6,8,16,29,29,29,29,29,12,starboard,
258217000,5820,9,7,16,29,29,29,29,29,29,starboard,
258265000,5820,6,8,16,29,29,29,29,29,12,starboard,
258217000,5880,10,7,15,29,29,29,29,29,29,starboard,
258265000,5880,5,8,15,29,29,29,29,29,29,starboard,
258217000,5940,13,7,15,29,29,29,29,29,29,starboard,
258265000,5940,5,8,15,29,29,29,29,29,29,starboard,
258217000,6000,13,7,15,26,29,29,29,29,29,starboard,
258265000,6000,5,7,15,26,29,29,29,29,29,starboard,
258217000,6060,13,7,15,20,29,29,29,29,29,starboard,
258265000,6060,5,7,15,20,29,29,29,29,29,starboard,
258217000,6120,13,7,14,18,29,29,29,29,29,starboard,
258265000,6120,5,7,14,18,29,29,29,29,29,starboard,
258217000,6180,13,7,14,10,29,29,29,29,29,starboard,
258265000,6180,5,8,14,10,29,29,29,29,29,starboard,
258217000,6240,13,7,14,0,29,29,29,29,29,starboard,
258265000,6240,5,8,14,0,29,29,29,29,29,starboard,
