mmsi,time,did_save,course,speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,current_distance,time_untill_CPA,distance_cpa,crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,hasPassed,crossing_with_other_on_port_side,
257062170,60,0,0.719076,13.5,0,0.0450179,0,0,0.954982,0,3718.07,-181.932,2732.15,inf,1409.39,1,1,1,
259299000,60,0,4.80315,0.6,0,0,0,0,1,0,3718.07,-181.932,2732.15,inf,152.336,0,1,1,
257062170,120,1,0.701622,13.4,0,0,0,0,1,0,4004.83,-205.802,2798.05,inf,1429.66,1,1,1,
259299000,120,1,4.36856,0.6,0,0,0,0,1,0,4004.83,-205.802,2798.05,inf,533.729,1,1,1,
257062170,180,1,0.696386,13.3,0,0,0,1,0,0,4294.56,-231.561,2869.71,inf,1440.49,1,1,1,
259299000,180,1,3.93572,0.5,0,0,0,1,0,0,4294.56,-231.561,2869.71,inf,1278.23,1,1,1,
257062170,240,1,0.659734,13.4,0,0,0,0,1,0,4592.96,-340.517,2964.83,inf,1497.1,1,1,1,
259299000,240,1,0.631809,3.1,0,0,0,0,0,1,4592.96,-340.517,2964.83,inf,1545.14,0,1,0,
257062170,300,1,0.651008,13.5,0,0,0,0,1,0,4662.05,-129.088,4499.88,inf,1436.85,1,1,1,
259299000,300,1,1.41197,8.2,0,0,0,0,0,1,4662.05,-129.088,4499.88,inf,225.289,1,1,0,
257062170,360,1,0.668461,13.4,0,0,0,0,1,0,4626.02,120.919,3935.55,inf,1244.28,1,0,1,
259299000,360,1,1.66155,24,0,0,0,0,0,1,4626.02,120.919,3935.55,inf,953.894,1,0,1,
257062170,420,1,0.649262,13.2,0,0,0,0,1,0,4083.37,162.647,1996.49,inf,932.434,1,0,0,
259299000,420,1,1.27409,31.2,0,0,0,0,0,1,4083.37,162.647,1996.49,inf,306.21,1,0,1,
257062170,480,1,0.645772,13,0,0,0,0,1,0,3528.35,175.772,899.881,inf,667.919,1,0,0,
259299000,480,1,1.03498,30.8,0,0,0,0,0,1,3528.35,175.772,899.881,inf,1.63032,1,0,1,
257062170,540,1,0.645772,12.9,0,0,0,0,1,0,2931.58,154.374,330.319,1721.49,522.733,1,0,0,
259299000,540,1,0.93026,30.9,0,0,0,0,0,1,2931.58,154.374,330.319,inf,117.373,0,0,1,
257062170,600,0,0.677188,13.1,0,0,0,0,1,0,2375.77,126.088,372.738,1981.3,353.584,1,0,0,
259299000,600,0,0.947714,30.9,0,0,0,0,0,1,2375.77,126.088,372.738,inf,37.6655,0,0,1,
257062170,660,0,0.685914,13.2,0,0,0,0,1,0,1795.96,96.5578,286.03,1656.32,227.569,1,0,0,
259299000,660,0,0.928515,30.9,0,0,0,0,0,1,1795.96,96.5578,286.03,inf,12.2268,0,0,1,
257062170,720,1,0.883137,13.3,0,0,0,0,1,0,1246.35,69.8839,252.097,inf,44.5182,1,0,1,
259299000,720,1,0.808087,30.7,0,0,0,0,0,1,1246.35,69.8839,252.097,inf,90.9984,0,0,0,
257062170,780,1,0.904081,13.3,0,0,0,0,1,0,746.744,39.7327,253.103,inf,73.8237,1,0,1,
259299000,780,1,0.820305,30.9,0,0,0,0,0,1,746.744,39.7327,253.103,inf,104.191,0,0,0,
257062170,840,1,1.10479,13.5,0,0,0,0,1,0,260.539,7.7669,220.934,inf,88.0467,1,0,1,
259299000,840,1,0.951204,31,0,0,0,0,0,1,260.539,7.7669,220.934,inf,101.698,0,0,0,
257062170,900,1,1.20777,13.5,0,0,0,0,0,1,410.64,-20.0328,195.103,inf,145.971,1,1,1,
259299000,900,1,1.03847,31.2,0,0,0,0,1,0,410.64,-20.0328,195.103,inf,119.556,0,1,0,
257062170,960,1,1.34041,13.4,0,0,0,0,0,1,953.185,-50.3109,235.913,inf,266.684,1,1,1,
259299000,960,1,1.14145,31.3,0,0,0,0,1,0,953.185,-50.3109,235.913,inf,183.349,0,1,0,
257062170,1020,1,1.87972,11.3,0,0,0,0,0,1,1520.44,-66.4129,254.296,inf,640.766,1,1,1,
259299000,1020,1,1.31598,31.3,0,0,0,0,1,0,1520.44,-66.4129,254.296,inf,323.021,0,1,0,
257062170,1080,1,2.28115,9.2,0,0,0,0,0,1,2304.52,-85.1489,272.269,inf,1123.2,1,1,1,
259299000,1080,1,1.33518,31.2,0,0,0,0,1,0,2304.52,-85.1489,272.269,inf,448.463,0,1,0,
257062170,1140,1,2.89376,6.9,0,0.573492,0,0,0.426508,0,3184.54,-99.9498,577.657,inf,1500.5,1,1,0,
259299000,1140,1,1.38579,31,0,0,0,0,1,0,3184.54,-99.9498,577.657,inf,625.913,0,1,0,
