mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
209221000,120,24,20,26,29,0,0,11,4,11,port,
246057000,120,5,7,26,29,0,0,29,29,27,starboard,
209221000,180,24,20,25,29,1,0,23,9,16,port,
246057000,180,5,7,25,29,1,0,29,29,29,starboard,
209221000,240,24,20,24,29,0,0,29,29,12,port,
246057000,240,5,8,24,29,0,0,1,0,29,starboard,
209221000,300,24,20,22,27,0,0,28,11,10,port,
246057000,300,6,8,22,27,0,0,29,29,20,starboard,
209221000,360,24,20,21,26,0,0,29,29,8,port,
246057000,360,5,7,21,26,0,0,29,18,27,starboard,
209221000,420,24,20,20,24,1,1,29,29,5,port,
246057000,420,5,8,20,24,1,1,29,29,26,starboard,
209221000,480,24,20,19,23,0,0,3,1,7,port,
246057000,480,5,7,19,23,0,0,29,29,19,starboard,
209221000,540,24,20,17,22,0,0,29,29,9,port,
246057000,540,5,7,17,22,0,0,29,17,29,starboard,
209221000,600,24,20,16,20,7,6,29,29,5,port,
246057000,600,4,7,16,20,7,6,29,29,29,starboard,
209221000,660,23,19,15,19,24,19,29,29,29,starboard,
246057000,660,4,7,15,19,24,19,29,29,29,starboard,
209221000,720,22,20,14,16,29,27,29,29,29,starboard,
246057000,720,4,7,14,16,29,27,29,29,29,starboard,
209221000,780,22,20,13,15,29,27,29,29,29,starboard,
246057000,780,5,7,13,15,29,27,29,29,29,starboard,
209221000,840,22,20,11,13,29,29,29,29,29,starboard,
246057000,840,3,7,11,13,29,29,29,29,29,starboard,
209221000,900,22,20,10,11,29,29,29,29,29,starboard,
246057000,900,4,7,10,11,29,29,29,29,29,starboard,
209221000,960,22,20,9,10,29,29,29,29,29,starboard,
246057000,960,3,8,9,10,29,29,29,29,29,starboard,
209221000,1020,22,20,8,8,29,29,29,29,29,starboard,
246057000,1020,3,8,8,8,29,29,29,29,29,starboard,
209221000,1080,22,20,7,7,29,29,29,29,29,starboard,
246057000,1080,3,7,7,7,29,29,29,29,29,starboard,
209221000,1140,22,20,6,5,29,29,29,29,29,starboard,
246057000,1140,3,7,6,5,29,29,29,29,29,starboard,
209221000,1200,22,20,6,3,29,29,29,29,29,starboard,
246057000,1200,3,7,6,3,29,29,29,29,29,starboard,
209221000,1260,22,20,5,2,29,29,29,29,29,starboard,
246057000,1260,3,7,5,2,29,29,29,29,29,starboard,
209221000,1320,22,20,5,0,29,29,29,29,29,starboard,
246057000,1320,3,7,5,0,29,29,29,29,29,starboard,
209221000,1380,22,20,5,0,29,29,29,29,29,starboard,
246057000,1380,3,8,5,0,29,29,29,29,29,starboard,
